dialect,coverage_source,supported_cases,unsupported_cases,total_cases,supported_ratio,notes
postgresql,tests/cases/sql_batch_input.json,153,1,154,99.35%,"Default dialect coverage is measured by executable regression cases that use PostgreSQL-compatible SQL. Official syntax coverage is tracked in postgresql_official_syntax_coverage.csv."
mysql,tests/cases/mysql_dialect_input.json,173,0,173,100.00%,"MySQL coverage is measured by executable dialect cases. Official syntax coverage is tracked in mysql_official_syntax_coverage.csv."
oracle,tests/cases/oracle_dialect_input.json,163,12,175,93.14%,"Oracle coverage is measured by executable dialect cases. Official syntax coverage is tracked in oracle_official_syntax_coverage.csv."
sqlserver,tests/cases/sqlserver_dialect_input.json,448,11,459,97.60%,"SQL Server coverage is measured by executable dialect cases, including official hook-coverable cases and basic forms of mixed-model official entries. Official syntax coverage is tracked in sqlserver_official_syntax_coverage.csv."
dameng,tests/cases/dameng_dialect_input.json,125,6,131,95.42%,"Dameng coverage is measured by executable dialect cases. Official syntax coverage is tracked in dameng_official_syntax_coverage.csv."
vastbase-postgresql,tests/cases/vastbase_postgresql_dialect_input.json,144,1,145,99.31%,"Vastbase PostgreSQL compatibility mode uses an explicit dialect and executable PostgreSQL-compatible regression cases. Official syntax coverage is tracked in vastbase_official_syntax_coverage.csv."
vastbase-mysql,tests/cases/vastbase_mysql_dialect_input.json,173,0,173,100.00%,"Vastbase MySQL compatibility mode uses an explicit dialect and executable MySQL-compatible regression cases. Official syntax coverage is tracked in vastbase_official_syntax_coverage.csv."
vastbase-oracle,tests/cases/vastbase_oracle_dialect_input.json,162,12,174,93.10%,"Vastbase Oracle compatibility mode uses an explicit dialect and executable Oracle-compatible regression cases. Official syntax coverage is tracked in vastbase_official_syntax_coverage.csv."
vastbase-sqlserver,tests/cases/vastbase_sqlserver_dialect_input.json,448,11,459,97.60%,"Vastbase SQL Server compatibility mode uses an explicit dialect and executable SQL Server-compatible regression cases, including official hook-coverable cases and basic forms of mixed-model official entries. Official syntax coverage is tracked in vastbase_official_syntax_coverage.csv."
