series,repeat_index,mode,workload,target_sql_bytes,actual_sql_bytes,iterations,warmup,total_operations,ok_operations,error_operations,wall_total_s,throughput_ops_s,avg_us,min_us,p50_us,p95_us,p99_us,max_us,avg_alloc_bytes,p50_alloc_bytes,p95_alloc_bytes,max_alloc_bytes,avg_peak_live_bytes,p50_peak_live_bytes,p95_peak_live_bytes,max_peak_live_bytes,avg_retained_bytes,p50_retained_bytes,p95_retained_bytes,max_retained_bytes,error_message
single_call_parse,2,native-parse,insert-values,1024,1024,10000,1000,10000,10000,0,3.819594251,2618.0791,381.7763,358.842,378.897,391.887,402.503,1755.81,59650.0,59650,59650,59650,59650.0,59650,59650,59650,2306.0,2306,2306,2306,
single_call_parse,3,native-parse,insert-values,1024,1024,10000,1000,10000,10000,0,3.825420338,2614.0918,382.3541,365.28,379.213,393.436,418.884,1976.726,59650.0,59650,59650,59650,59650.0,59650,59650,59650,2306.0,2306,2306,2306,
single_call_parse,1,sqlparser-parse,insert-values,1024,1024,10000,1000,10000,10000,0,4.333811231,2307.4378,433.1631,410.569,429.521,445.206,471.874,2075.343,87686.0,87686,87686,87686,59650.0,59650,59650,59650,3444.0,3444,3444,3444,
single_call_parse,2,sqlparser-parse,insert-values,1024,1024,10000,1000,10000,10000,0,4.320656726,2314.463,431.8499,410.223,428.735,442.561,453.502,2291.119,87686.0,87686,87686,87686,59650.0,59650,59650,59650,3444.0,3444,3444,3444,
single_call_parse,3,sqlparser-parse,insert-values,1024,1024,10000,1000,10000,10000,0,4.303443455,2323.7206,430.126,406.74,427.276,440.995,454.641,2202.976,87686.0,87686,87686,87686,59650.0,59650,59650,59650,3444.0,3444,3444,3444,
single_call_parse,1,native-parse,insert-values,2048,2048,10000,1000,10000,10000,0,7.34841494,1360.8377,734.6484,698.406,735.297,750.701,770.485,2743.74,127398.0,127398,127398,127398,127398.0,127398,127398,127398,4518.0,4518,4518,4518,
single_call_parse,2,native-parse,insert-values,2048,2048,10000,1000,10000,10000,0,7.360363375,1358.6286,735.8481,703.114,735.643,751.629,767.374,3086.665,127398.0,127398,127398,127398,127398.0,127398,127398,127398,4518.0,4518,4518,4518,
single_call_parse,3,native-parse,insert-values,2048,2048,10000,1000,10000,10000,0,7.357887202,1359.0858,735.5947,710.62,735.377,750.483,769.518,3116.255,127398.0,127398,127398,127398,127398.0,127398,127398,127398,4518.0,4518,4518,4518,
single_call_parse,1,sqlparser-parse,insert-values,2048,2048,10000,1000,10000,10000,0,8.280420068,1207.6682,827.8162,798.016,828.354,843.96,861.258,3282.08,158670.0,158670,158670,158670,127398.0,127398,127398,127398,6680.0,6680,6680,6680,
single_call_parse,2,sqlparser-parse,insert-values,2048,2048,10000,1000,10000,10000,0,8.298442562,1205.0454,829.621,798.553,830.354,844.628,861.542,3129.453,158670.0,158670,158670,158670,127398.0,127398,127398,127398,6680.0,6680,6680,6680,
