series,repeat_index,mode,workload,target_sql_bytes,actual_sql_bytes,iterations,warmup,total_operations,ok_operations,error_operations,wall_total_s,throughput_ops_s,avg_us,min_us,p50_us,p95_us,p99_us,max_us,avg_alloc_bytes,p50_alloc_bytes,p95_alloc_bytes,max_alloc_bytes,avg_peak_live_bytes,p50_peak_live_bytes,p95_peak_live_bytes,max_peak_live_bytes,avg_retained_bytes,p50_retained_bytes,p95_retained_bytes,max_retained_bytes,error_message
single_call_api,1,sqlparser-summary-json,insert-values,8192,8192,1000,100,1000,1000,0,13.594570374,73.5588,10146.2688,10066.231,10129.206,10220.04,10406.79,11984.199,956078.0,956078,956078,956078,365137.0,365137,365137,365137,92605.0,92605,92605,92605,
single_call_api,2,sqlparser-summary-json,insert-values,8192,8192,1000,100,1000,1000,0,13.60190519,73.5191,10175.2173,10097.539,10154.973,10247.591,10418.096,12222.398,956078.0,956078,956078,956078,365137.0,365137,365137,365137,92605.0,92605,92605,92605,
single_call_api,3,sqlparser-summary-json,insert-values,8192,8192,1000,100,1000,1000,0,13.538501721,73.8634,10114.5853,10034.769,10095.708,10182.136,10443.39,12037.816,956078.0,956078,956078,956078,365137.0,365137,365137,365137,92605.0,92605,92605,92605,
single_call_api,1,sqlparser-deparse,insert-values,8192,8192,1000,100,1000,1000,0,5.405189158,185.0074,2242.958,2219.392,2236.655,2268.901,2332.123,3992.84,1304112.0,1304112,1304112,1304112,1056816.0,1056816,1056816,1056816,8193.0,8193,8193,8193,
single_call_api,2,sqlparser-deparse,insert-values,8192,8192,1000,100,1000,1000,0,5.394180526,185.385,2240.2412,2216.171,2234.333,2267.051,2299.028,3888.351,1304112.0,1304112,1304112,1304112,1056816.0,1056816,1056816,1056816,8193.0,8193,8193,8193,
single_call_api,3,sqlparser-deparse,insert-values,8192,8192,1000,100,1000,1000,0,5.396249877,185.3139,2240.6241,2217.456,2233.657,2268.87,2324.807,4174.749,1304112.0,1304112,1304112,1304112,1056816.0,1056816,1056816,1056816,8193.0,8193,8193,8193,
single_call_api,1,native-summary,insert-values,65536,65536,300,30,300,300,0,0.985374288,304.4528,3284.3579,3261.815,3278.819,3313.28,3376.249,3430.118,1155285.0,1155285,1155285,1155285,1138792.0,1138792,1138792,1138792,61.0,61,61,61,
single_call_api,2,native-summary,insert-values,65536,65536,300,30,300,300,0,0.99711237,300.8688,3323.4851,3290.863,3312.491,3351.968,3409.232,5010.352,1155285.0,1155285,1155285,1155285,1138792.0,1138792,1138792,1138792,61.0,61,61,61,
single_call_api,3,native-summary,insert-values,65536,65536,300,30,300,300,0,0.998101203,300.5707,3326.7942,3305.492,3321.982,3352.28,3385.864,3457.098,1155285.0,1155285,1155285,1155285,1138792.0,1138792,1138792,1138792,61.0,61,61,61,
single_call_api,1,native-deparse,insert-values,65536,65536,300,30,300,300,0,11.405115139,26.304,17427.2013,17301.138,17397.609,17543.901,17746.804,19398.706,10472392.0,10472392,10472392,10472392,8544352.0,8544352,8544352,8544352,0.0,0,0,0,
single_call_api,2,native-deparse,insert-values,65536,65536,300,30,300,300,0,11.462040039,26.1734,17570.1848,17329.003,17509.594,17866.356,18210.488,19623.787,10472392.0,10472392,10472392,10472392,8544352.0,8544352,8544352,8544352,0.0,0,0,0,
single_call_api,3,native-deparse,insert-values,65536,65536,300,30,300,300,0,11.383656726,26.3536,17438.9912,17286.215,17394.46,17580.863,19223.205,19733.49,10472392.0,10472392,10472392,10472392,8544352.0,8544352,8544352,8544352,0.0,0,0,0,
single_call_api,1,sqlparser-parse-tree-json,insert-values,65536,65536,300,30,300,300,0,9.180450955,32.6781,8311.5653,8243.645,8296.404,8371.235,8487.65,10555.451,3107772.0,3107772,3107772,3107772,1597536.0,1597536,1597536,1597536,920068.0,920068,920068,920068,
single_call_api,2,sqlparser-parse-tree-json,insert-values,65536,65536,300,30,300,300,0,9.134520243,32.8424,8256.1784,8193.056,8236.556,8309.263,8382.413,10321.831,3107772.0,3107772,3107772,3107772,1597536.0,1597536,1597536,1597536,920068.0,920068,920068,920068,
single_call_api,3,sqlparser-parse-tree-json,insert-values,65536,65536,300,30,300,300,0,9.133913935,32.8446,8265.9457,8205.28,8257.45,8324.195,8490.327,8595.422,3107772.0,3107772,3107772,3107772,1597536.0,1597536,1597536,1597536,920068.0,920068,920068,920068,
single_call_api,1,sqlparser-summary-json,insert-values,65536,65536,300,30,300,300,0,29.764069831,10.0793,74172.2687,73715.649,74037.373,75244.123,76178.23,76514.288,7662268.0,7662268,7662268,7662268,2786574.0,2786574,2786574,2786574,712090.0,712090,712090,712090,
single_call_api,2,sqlparser-summary-json,insert-values,65536,65536,300,30,300,300,0,29.735433747,10.089,74097.26,73623.196,73957.643,75263.492,76312.754,78122.214,7662268.0,7662268,7662268,7662268,2786574.0,2786574,2786574,2786574,712090.0,712090,712090,712090,
single_call_api,3,sqlparser-summary-json,insert-values,65536,65536,300,30,300,300,0,29.778731641,10.0743,74139.36,73716.452,74009.33,75083.974,75991.9,77335.158,7662268.0,7662268,7662268,7662268,2786574.0,2786574,2786574,2786574,712090.0,712090,712090,712090,
single_call_api,1,sqlparser-deparse,insert-values,65536,65536,300,30,300,300,0,12.036377928,24.9244,17795.0546,17687.958,17768.235,17957.401,18056.448,19834.757,10537929.0,10537929,10537929,10537929,8544352.0,8544352,8544352,8544352,65537.0,65537,65537,65537,
single_call_api,2,sqlparser-deparse,insert-values,65536,65536,300,30,300,300,0,11.79686901,25.4305,17076.0802,16959.8,17058.497,17224.399,17386.294,17551.473,10537929.0,10537929,10537929,10537929,8544352.0,8544352,8544352,8544352,65537.0,65537,65537,65537,
single_call_api,3,sqlparser-deparse,insert-values,65536,65536,300,30,300,300,0,12.03185923,24.9338,17808.7147,17643.868,17752.905,17939.904,19626.098,20053.042,10537929.0,10537929,10537929,10537929,8544352.0,8544352,8544352,8544352,65537.0,65537,65537,65537,
