case,dialect,size,patches,run,input_bytes,output_bytes,parse_seconds,construct_seconds,apply_seconds,json_seconds,deparse_seconds,max_rss_kib,full_parse_calls,handle_clone_calls,deparse_calls,arguments
expr_bind,postgresql,100,100,2,3154,2946,0.003947,,2.032109,0.024819,0.000031,4844,100,1,0,--profile expr_bind postgresql 100 100
expr_bind,postgresql,100,100,3,3154,2946,0.004034,,2.053772,0.024924,0.000020,4848,100,1,0,--profile expr_bind postgresql 100 100
expr_bind,mysql,100,100,1,3154,2754,0.005514,,2.467897,0.027226,0.000020,4952,100,1,0,--profile expr_bind mysql 100 100
expr_bind,mysql,100,100,2,3154,2754,0.005544,,2.503892,0.028372,0.000021,4952,100,1,0,--profile expr_bind mysql 100 100
expr_bind,mysql,100,100,3,3154,2754,0.005575,,2.493222,0.027346,0.000020,4956,100,1,0,--profile expr_bind mysql 100 100
expr_field,oracle,100,100,1,2754,3844,0.006533,,2.099220,0.022098,0.000024,4680,100,1,0,--profile expr_field oracle 100 100
expr_field,oracle,100,100,2,2754,3844,0.006652,,2.100289,0.021856,0.000023,4676,100,1,0,--profile expr_field oracle 100 100
expr_field,oracle,100,100,3,2754,3844,0.006497,,2.070392,0.021617,0.000023,4676,100,1,0,--profile expr_field oracle 100 100
expr_whole,postgresql,100,100,1,3154,3844,0.004036,,1.689242,0.020438,0.000023,4812,100,1,0,--profile expr_whole postgresql 100 100
expr_whole,postgresql,100,100,2,3154,3844,0.003914,,1.657674,0.020289,0.000023,4808,100,1,0,--profile expr_whole postgresql 100 100
expr_whole,postgresql,100,100,3,3154,3844,0.003824,,1.673507,0.020558,0.000024,4808,100,1,0,--profile expr_whole postgresql 100 100
expr_insert,postgresql,100,100,1,3760,5050,0.003954,,1.915665,0.026907,0.000027,5656,100,1,0,--profile expr_insert postgresql 100 100
expr_insert,postgresql,100,100,2,3760,5050,0.003979,,1.930978,0.027083,0.000027,5652,100,1,0,--profile expr_insert postgresql 100 100
expr_insert,postgresql,100,100,3,3760,5050,0.003954,,1.914867,0.026959,0.000027,5652,100,1,0,--profile expr_insert postgresql 100 100
expr_delete,postgresql,100,100,1,3760,3160,0.003949,,1.760105,0.021260,0.000021,4728,100,1,0,--profile expr_delete postgresql 100 100
expr_delete,postgresql,100,100,2,3760,3160,0.003934,,1.763940,0.021453,0.000021,4728,100,1,0,--profile expr_delete postgresql 100 100
expr_delete,postgresql,100,100,3,3760,3160,0.003961,,1.757985,0.021266,0.000021,4732,100,1,0,--profile expr_delete postgresql 100 100
expr_repeat,postgresql,100,100,1,3154,3161,0.003932,,1.670703,0.020533,0.000022,4808,100,1,0,--profile expr_repeat postgresql 100 100
expr_repeat,postgresql,100,100,2,3154,3161,0.003916,,1.644719,0.020211,0.000022,4804,100,1,0,--profile expr_repeat postgresql 100 100
expr_repeat,postgresql,100,100,3,3154,3161,0.003992,,1.673193,0.020391,0.000022,4800,100,1,0,--profile expr_repeat postgresql 100 100
mixed_update_expr,postgresql,200,50,1,4106,4446,0.005192,,0.673730,0.024407,0.000027,5620,50,1,0,--profile mixed_update_expr postgresql 200 50
mixed_update_expr,postgresql,200,50,2,4106,4446,0.004858,,0.681222,0.024773,0.000035,5620,50,1,0,--profile mixed_update_expr postgresql 200 50
mixed_update_expr,postgresql,200,50,3,4106,4446,0.004889,,0.681733,0.024666,0.000028,5620,50,1,0,--profile mixed_update_expr postgresql 200 50
mixed_update_expr,postgresql,200,100,1,4106,4796,0.004870,,1.359225,0.025131,0.000028,5608,100,1,0,--profile mixed_update_expr postgresql 200 100
mixed_update_expr,postgresql,200,100,2,4106,4796,0.004793,,1.368125,0.024733,0.000037,5604,100,1,0,--profile mixed_update_expr postgresql 200 100
mixed_update_expr,postgresql,200,100,3,4106,4796,0.004861,,1.371709,0.024853,0.000028,5612,100,1,0,--profile mixed_update_expr postgresql 200 100
mixed_update_expr,postgresql,200,200,1,4106,5596,0.004867,,2.748687,0.025491,0.000030,5600,200,1,0,--profile mixed_update_expr postgresql 200 200
mixed_update_expr,postgresql,200,200,2,4106,5596,0.004813,,2.749866,0.024771,0.000029,5600,200,1,0,--profile mixed_update_expr postgresql 200 200
