case,dialect,patches,input_bytes,output_bytes,full_parse_calls,handle_clone_calls,deparse_calls
multi_comment_first,vastbase-oracle,6,247,283,6,2,2
insert_cell,vastbase-mysql,6,89,125,0,1,0
insert_copy,vastbase-mysql,6,89,107,5,1,0
update_literal,vastbase-mysql,6,90,126,0,1,0
where_literal,vastbase-mysql,6,97,133,1,1,0
select_target,vastbase-mysql,6,50,91,0,1,0
expr_literal,vastbase-mysql,6,240,276,1,1,0
expr_raw,vastbase-mysql,6,240,276,6,1,0
expr_float,vastbase-mysql,6,240,234,6,1,0
expr_bind,vastbase-mysql,6,240,216,6,1,0
expr_field,vastbase-mysql,6,216,276,6,1,0
expr_whole,vastbase-mysql,6,240,276,6,1,0
expr_insert,vastbase-mysql,6,282,354,6,1,0
expr_delete,vastbase-mysql,6,282,246,6,1,0
expr_repeat,vastbase-mysql,6,240,246,6,1,0
mixed_update_expr,vastbase-mysql,6,136,172,6,1,0
insert_cell,vastbase-postgresql,6,89,125,0,1,0
insert_copy,vastbase-postgresql,6,89,107,5,1,0
update_literal,vastbase-postgresql,6,90,126,0,1,0
where_literal,vastbase-postgresql,6,97,133,1,1,0
select_target,vastbase-postgresql,6,50,91,0,1,0
merge_cell,vastbase-postgresql,6,139,175,0,1,0
expr_literal,vastbase-postgresql,6,240,276,1,1,0
expr_raw,vastbase-postgresql,6,240,276,6,1,0
expr_float,vastbase-postgresql,6,240,234,6,1,0
expr_bind,vastbase-postgresql,6,240,222,6,1,0
expr_field,vastbase-postgresql,6,216,276,6,1,0
expr_whole,vastbase-postgresql,6,240,276,6,1,0
expr_insert,vastbase-postgresql,6,282,354,6,1,0
expr_delete,vastbase-postgresql,6,282,246,6,1,0
expr_repeat,vastbase-postgresql,6,240,246,6,1,0
mixed_update_expr,vastbase-postgresql,6,136,172,6,1,0
insert_cell,vastbase-sqlserver,6,89,125,0,1,0
insert_copy,vastbase-sqlserver,6,89,107,5,1,0
update_literal,vastbase-sqlserver,6,90,148,0,1,0
where_literal,vastbase-sqlserver,6,97,145,1,1,1
select_target,vastbase-sqlserver,6,50,91,0,1,0
